figi,name,ticker,exchCode,compositeFIGI,uniqueID,securityType,marketSector,shareClassFIGI,uniqueIDFutOpt,securityType2,securityDescription
BBG0025Y4RY4,ABBVIE INC,ABBV,US,BBG0025Y4RY4,,Common Stock,Equity,BBG0025Y4RZ3,,Common Stock,ABBV
BBG000C101X4,ABIOMED INC,ABMD,US,BBG000C101X4,,Common Stock,Equity,BBG001S64SQ9,,Common Stock,ABMD
BBG000D9D830,ACCENTURE PLC-CL A,ACN,US,BBG000D9D830,,Common Stock,Equity,BBG001SCXK90,,Common Stock,ACN
BBG000CVWGS6,ACTIVISION BLIZZARD INC,ATVI,US,BBG000CVWGS6,,Common Stock,Equity,BBG001S6C009,,Common Stock,ATVI
BBG000BB5006,ADOBE INC,ADBE,US,BBG000BB5006,,Common Stock,Equity,BBG001S5NCQ5,,Common Stock,ADBE
BBG000BBQCY0,ADVANCED MICRO DEVICES,AMD,US,BBG000BBQCY0,,Common Stock,Equity,BBG001S5NN36,,Common Stock,AMD
BBG000F7RCJ1,ADVANCE AUTO PARTS INC,AAP,US,BBG000F7RCJ1,,Common Stock,Equity,BBG001SD2SB2,,Common Stock,AAP
BBG000C23KJ3,AES CORP,AES,US,BBG000C23KJ3,,Common Stock,Equity,BBG001S6B1L5,,Common Stock,AES
BBG000BBBNC6,AFLAC INC,AFL,US,BBG000BBBNC6,,Common Stock,Equity,BBG001S5NGJ4,,Common Stock,AFL
BBG000C2V3D6,AGILENT TECHNOLOGIES INC,A,US,BBG000C2V3D6,,Common Stock,Equity,BBG001SCTQY4,,Common Stock,A
BBG000BC4JJ4,AIR PRODUCTS & CHEMICALS INC,APD,US,BBG000BC4JJ4,,Common Stock,Equity,BBG001S5NSB6,,Common Stock,APD
BBG000BJQWD2,AKAMAI TECHNOLOGIES INC,AKAM,US,BBG000BJQWD2,,Common Stock,Equity,BBG001S7YHX0,,Common Stock,AKAM
BBG000BBL0Y1,ALASKA AIR GROUP INC,ALK,US,BBG000BBL0Y1,,Common Stock,Equity,BBG001S5NLG6,,Common Stock,ALK
BBG000BJ26K7,ALBEMARLE CORP,ALB,US,BBG000BJ26K7,,Common Stock,Equity,BBG001S7SBP9,,Common Stock,ALB
BBG000BC33T9,ALEXANDRIA REAL ESTATE EQUIT,ARE,US,BBG000BC33T9,,REIT,Equity,BBG001S6CPH6,,REIT,ARE
BBG000BRNLL2,ALIGN TECHNOLOGY INC,ALGN,US,BBG000BRNLL2,,Common Stock,Equity,BBG001SCF1B9,,Common Stock,ALGN
BBG003PS7JV1,ALLEGION PLC,ALLE,US,BBG003PS7JV1,,Common Stock,Equity,BBG003PS7JW0,,Common Stock,ALLE
BBG000BVMGF2,ALLSTATE CORP,ALL,US,BBG000BVMGF2,,Common Stock,Equity,BBG001S9BM06,,Common Stock,ALL
BBG000BVPV84,AMAZON.COM INC,AMZN,US,BBG000BVPV84,,Common Stock,Equity,BBG001S5PQL7,,Common Stock,AMZN
BBG00LNJRQ09,AMCOR PLC,AMCR,US,BBG00LNJRQ09,,Common Stock,Equity,BBG00LNJRQ18,,Common Stock,AMCR
BBG000B9X8C0,AMEREN CORPORATION,AEE,US,BBG000B9X8C0,,Common Stock,Equity,BBG001S5NF24,,Common Stock,AEE
BBG005P7Q881,AMERICAN AIRLINES GROUP INC,AAL,US,BBG005P7Q881,,Common Stock,Equity,BBG005P7Q907,,Common Stock,AAL
BBG000BB9KF2,AMERICAN ELECTRIC POWER,AEP,US,BBG000BB9KF2,,Common Stock,Equity,BBG001S5NFD2,,Common Stock,AEP
BBG000BCQZS4,AMERICAN EXPRESS CO,AXP,US,BBG000BCQZS4,,Common Stock,Equity,BBG001S5P034,,Common Stock,AXP
BBG000BBDZG3,AMERICAN INTERNATIONAL GROUP,AIG,US,BBG000BBDZG3,,Common Stock,Equity,BBG001S5NJG1,,Common Stock,AIG
BBG000B9XYV2,AMERICAN TOWER CORP,AMT,US,BBG000B9XYV2,,REIT,Equity,BBG001S5NPQ6,,REIT,AMT
BBG000TRJ294,AMERICAN WATER WORKS CO INC,AWK,US,BBG000TRJ294,,Common Stock,Equity,BBG001SPHYW3,,Common Stock,AWK
BBG000G3QLY3,AMERIPRISE FINANCIAL INC,AMP,US,BBG000G3QLY3,,Common Stock,Equity,BBG001SK6096,,Common Stock,AMP
BBG000MDCQC2,AMERISOURCEBERGEN CORP,ABC,US,BBG000MDCQC2,,Common Stock,Equity,BBG001S8X7P0,,Common Stock,ABC
BBG000B9XG87,AMETEK INC,AME,US,BBG000B9XG87,,Common Stock,Equity,BBG001S5NN54,,Common Stock,AME
BBG000BBS2Y0,AMGEN INC,AMGN,US,BBG000BBS2Y0,,Common Stock,Equity,BBG001S5NNL6,,Common Stock,AMGN
BBG000B9YJ35,AMPHENOL CORP-CL A,APH,US,BBG000B9YJ35,,Common Stock,Equity,BBG001S5NSK6,,Common Stock,APH
BBG000BB6G37,ANALOG DEVICES INC,ADI,US,BBG000BB6G37,,Common Stock,Equity,BBG001S5ND38,,Common Stock,ADI
BBG000GXZ4W7,ANSYS INC,ANSS,US,BBG000GXZ4W7,,Common Stock,Equity,BBG001S926L8,,Common Stock,ANSS
BBG000BCG930,ANTHEM INC,ANTM,US,BBG000BCG930,,Common Stock,Equity,BBG001S6KBQ8,,Common Stock,ANTM
BBG00SSQFPK6,AON PLC-CLASS A,AON,US,BBG00SSQFPK6,,Common Stock,Equity,BBG00SSQFPR9,,Common Stock,AON
BBG000BC1L02,SMITH (A.O.) CORP,AOS,US,BBG000BC1L02,,Common Stock,Equity,BBG001S5NRY3,,Common Stock,AOS
BBG00YTS96G2,APA CORP,APA,US,BBG00YTS96G2,,Common Stock,Equity,BBG00YTS96H1,,Common Stock,APA
BBG000B9XRY4,APPLE INC,AAPL,US,BBG000B9XRY4,,Common Stock,Equity,BBG001S5N8V8,,Common Stock,AAPL
BBG000BBPFB9,APPLIED MATERIALS INC,AMAT,US,BBG000BBPFB9,,Common Stock,Equity,BBG001S5NMM7,,Common Stock,AMAT
BBG001QD41M9,APTIV PLC,APTV,US,BBG001QD41M9,,Common Stock,Equity,BBG001TRL2T7,,Common Stock,APTV
BBG000BB6WG8,ARCHER-DANIELS-MIDLAND CO,ADM,US,BBG000BB6WG8,,Common Stock,Equity,BBG001S5ND74,,Common Stock,ADM
BBG000N2HDY5,ARISTA NETWORKS INC,ANET,US,BBG000N2HDY5,,Common Stock,Equity,BBG001T51KQ0,,Common Stock,ANET
BBG000BBHXQ3,ARTHUR J GALLAGHER & CO,AJG,US,BBG000BBHXQ3,,Common Stock,Equity,BBG001S5NKC2,,Common Stock,AJG
BBG000BZX1N5,ASSURANT INC,AIZ,US,BBG000BZX1N5,,Common Stock,Equity,BBG001SD9DW5,,Common Stock,AIZ
BBG000BRNGM2,ATMOS ENERGY CORP,ATO,US,BBG000BRNGM2,,Common Stock,Equity,BBG001S5VG05,,Common Stock,ATO
BBG000BM7HL0,AUTODESK INC,ADSK,US,BBG000BM7HL0,,Common Stock,Equity,BBG001S5SCD4,,Common Stock,ADSK
BBG000JG0547,AUTOMATIC DATA PROCESSING,ADP,US,BBG000JG0547,,Common Stock,Equity,BBG001S82KF6,,Common Stock,ADP
BBG000C7LMS8,AUTOZONE INC,AZO,US,BBG000C7LMS8,,Common Stock,Equity,BBG001S6Q5D9,,Common Stock,AZO
BBG000BLPBL5,AVALONBAY COMMUNITIES INC,AVB,US,BBG000BLPBL5,,REIT,Equity,BBG001S7J2H8,,REIT,AVB
BBG000BCQ4P6,AVERY DENNISON CORP,AVY,US,BBG000BCQ4P6,,Common Stock,Equity,BBG001S5NZM8,,Common Stock,AVY
BBG00KHY5S69,BROADCOM INC,AVGO,US,BBG00KHY5S69,,Common Stock,Equity,BBG00KHY5SY8,,Common Stock,AVGO
BBG00GBVBK51,BAKER HUGHES CO,BKR,US,BBG00GBVBK51,,Common Stock,Equity,BBG00GBVBK60,,Common Stock,BKR
BBG000BDDNH5,BALL CORP,BLL,US,BBG000BDDNH5,,Common Stock,Equity,BBG001S5P7Q4,,Common Stock,BLL
BBG000BCTLF6,BANK OF AMERICA CORP,BAC,US,BBG000BCTLF6,,Common Stock,Equity,BBG001S5P0Y0,,Common Stock,BAC
BBG000BNGTQ7,BATH & BODY WORKS INC,BBWI,US,BBG000BNGTQ7,,Common Stock,Equity,BBG001S5SWL1,,Common Stock,BBWI
BBG000BCVJ77,BAXTER INTERNATIONAL INC,BAX,US,BBG000BCVJ77,,Common Stock,Equity,BBG001S5P1K3,,Common Stock,BAX
BBG000BCZYD3,BECTON DICKINSON AND CO,BDX,US,BBG000BCZYD3,,Common Stock,Equity,BBG001S5P374,,Common Stock,BDX
BBG000BCWCG1,BEST BUY CO INC,BBY,US,BBG000BCWCG1,,Common Stock,Equity,BBG001S5P285,,Common Stock,BBY
BBG000DY28W5,BIO-RAD LABORATORIES-A,BIO,US,BBG000DY28W5,,Common Stock,Equity,BBG001S625W4,,Common Stock,BIO
BBG000C17X76,BIOGEN INC,BIIB,US,BBG000C17X76,,Common Stock,Equity,BBG001S67826,,Common Stock,BIIB
BBG000C2PW58,BLACKROCK INC,BLK,US,BBG000C2PW58,,Common Stock,Equity,BBG001SDBP55,,Common Stock,BLK
BBG000BD8PN9,BANK OF NEW YORK MELLON CORP,BK,US,BBG000BD8PN9,,Common Stock,Equity,BBG001S5P6Q6,,Common Stock,BK
BBG000BCSST7,BOEING CO/THE,BA,US,BBG000BCSST7,,Common Stock,Equity,BBG001S5P0V3,,Common Stock,BA
BBG000BLBVN4,BOOKING HOLDINGS INC,BKNG,US,BBG000BLBVN4,,Common Stock,Equity,BBG001S89N72,,Common Stock,BKNG
BBG000BJ49H3,BORGWARNER INC,BWA,US,BBG000BJ49H3,,Common Stock,Equity,BBG001S7F4D2,,Common Stock,BWA
BBG000BS5CM9,BOSTON PROPERTIES INC,BXP,US,BBG000BS5CM9,,REIT,Equity,BBG001S9TWV1,,REIT,BXP
BBG000C0LW92,BOSTON SCIENTIFIC CORP,BSX,US,BBG000C0LW92,,Common Stock,Equity,BBG001S63L94,,Common Stock,BSX
BBG000DQLV23,BRISTOL-MYERS SQUIBB CO,BMY,US,BBG000DQLV23,,Common Stock,Equity,BBG001S8N8J6,,Common Stock,BMY
BBG000PPFKQ7,BROADRIDGE FINANCIAL SOLUTIO,BR,US,BBG000PPFKQ7,,Common Stock,Equity,BBG001SR7MB9,,Common Stock,BR
BBG000BWSGF4,BROWN & BROWN INC,BRO,US,BBG000BWSGF4,,Common Stock,Equity,BBG001S5XFN0,,Common Stock,BRO
BBG000BD0TF8,FRANKLIN RESOURCES INC,BEN,US,BBG000BD0TF8,,Common Stock,Equity,BBG001S5P3W6,,Common Stock,BEN
BBG000BTCH57,C.H. ROBINSON WORLDWIDE INC,CHRW,US,BBG000BTCH57,,Common Stock,Equity,BBG001SB6KF5,,Common Stock,CHRW
BBG000C13CD9,CADENCE DESIGN SYS INC,CDNS,US,BBG000C13CD9,,Common Stock,Equity,BBG001S65YK1,,Common Stock,CDNS
BBG0074Q3NK6,CAESARS ENTERTAINMENT INC,CZR,US,BBG0074Q3NK6,,Common Stock,Equity,BBG0074Q3NL5,,Common Stock,CZR
BBG000BG4202,CAMPBELL SOUP CO,CPB,US,BBG000BG4202,,Common Stock,Equity,BBG001S5Q2B0,,Common Stock,CPB
BBG000BGKTF9,CAPITAL ONE FINANCIAL CORP,COF,US,BBG000BGKTF9,,Common Stock,Equity,BBG001S65PV8,,Common Stock,COF
BBG000D898T9,CARDINAL HEALTH INC,CAH,US,BBG000D898T9,,Common Stock,Equity,BBG001S7PC34,,Common Stock,CAH
BBG000BF6LY3,CARNIVAL CORP,CCL,US,BBG000BF6LY3,,Common Stock,Equity,BBG001S5PL01,,Common Stock,CCL
BBG00RP5HYS8,CARRIER GLOBAL CORP,CARR,US,BBG00RP5HYS8,,Common Stock,Equity,BBG00RP5HZM1,,Common Stock,CARR
BBG005XR47P5,CATALENT INC,CTLT,US,BBG005XR47P5,,Common Stock,Equity,BBG005XR47N7,,Common Stock,CTLT
BBG000BF0K17,CATERPILLAR INC,CAT,US,BBG000BF0K17,,Common Stock,Equity,BBG001S5PJ06,,Common Stock,CAT
BBG000QH56C1,CBOE GLOBAL MARKETS INC,CBOE,US,BBG000QH56C1,,Common Stock,Equity,BBG001T71BP7,,Common Stock,CBOE
BBG000C04224,CBRE GROUP INC - A,CBRE,US,BBG000C04224,,Common Stock,Equity,BBG001SC2D27,,Common Stock,CBRE
BBG001P63B80,CDW CORP/DE,CDW,US,BBG001P63B80,,Common Stock,Equity,BBG001V18TB6,,Common Stock,CDW
BBG000JYP7L8,CELANESE CORP,CE,US,BBG000JYP7L8,,Common Stock,Equity,BBG001SJDDG5,,Common Stock,CE
BBG000BDXCJ5,CENTENE CORP,CNC,US,BBG000BDXCJ5,,Common Stock,Equity,BBG001S6T7Q8,,Common Stock,CNC
BBG000FDBX90,CENTERPOINT ENERGY INC,CNP,US,BBG000FDBX90,,Common Stock,Equity,BBG001SB10S0,,Common Stock,CNP
BBG005D7PF34,CERIDIAN HCM HOLDING INC,CDAY,US,BBG005D7PF34,,Common Stock,Equity,BBG005D7PF43,,Common Stock,CDAY
BBG000BFDLV8,CERNER CORP,CERN,US,BBG000BFDLV8,,Common Stock,Equity,BBG001S5PNR8,,Common Stock,CERN
BBG000BWJFZ4,CF INDUSTRIES HOLDINGS INC,CF,US,BBG000BWJFZ4,,Common Stock,Equity,BBG001SJ8KV8,,Common Stock,CF
BBG000BG5BL8,CHARLES RIVER LABORATORIES,CRL,US,BBG000BG5BL8,,Common Stock,Equity,BBG001S7Q271,,Common Stock,CRL
BBG000VPGNR2,CHARTER COMMUNICATIONS INC-A,CHTR,US,BBG000VPGNR2,,Common Stock,Equity,BBG001T3TDG2,,Common Stock,CHTR
BBG000K4ND22,CHEVRON CORP,CVX,US,BBG000K4ND22,,Common Stock,Equity,BBG001S67ZC5,,Common Stock,CVX
BBG000QX74T1,CHIPOTLE MEXICAN GRILL INC,CMG,US,BBG000QX74T1,,Common Stock,Equity,BBG001SP50B3,,Common Stock,CMG
BBG000BR14K5,CHUBB LTD,CB,US,BBG000BR14K5,,Common Stock,Equity,BBG001S8S1L3,,Common Stock,CB
BBG000BFJT36,CHURCH & DWIGHT CO INC,CHD,US,BBG000BFJT36,,Common Stock,Equity,BBG001S5PR99,,Common Stock,CHD
BBG00KXRCDP0,CIGNA CORP,CI,US,BBG00KXRCDP0,,Common Stock,Equity,BBG00KXRCDQ9,,Common Stock,CI
BBG000BFPK65,CINCINNATI FINANCIAL CORP,CINF,US,BBG000BFPK65,,Common Stock,Equity,BBG001S5PTM0,,Common Stock,CINF
BBG000H3YXF8,CINTAS CORP,CTAS,US,BBG000H3YXF8,,Common Stock,Equity,BBG001S7CRG1,,Common Stock,CTAS
BBG000C3J3C9,CISCO SYSTEMS INC,CSCO,US,BBG000C3J3C9,,Common Stock,Equity,BBG001S6HC62,,Common Stock,CSCO
BBG000FY4S11,CITIGROUP INC,C,US,BBG000FY4S11,,Common Stock,Equity,BBG001S72ZG4,,Common Stock,C
BBG006Q0HY77,CITIZENS FINANCIAL GROUP,CFG,US,BBG006Q0HY77,,Common Stock,Equity,BBG006Q0HZT0,,Common Stock,CFG
BBG000FQ6PY6,CITRIX SYSTEMS INC,CTXS,US,BBG000FQ6PY6,,Common Stock,Equity,BBG001S8M834,,Common Stock,CTXS
BBG000BFS7D3,CLOROX COMPANY,CLX,US,BBG000BFS7D3,,Common Stock,Equity,BBG001S5PX50,,Common Stock,CLX
BBG000BHLYP4,CME GROUP INC,CME,US,BBG000BHLYP4,,Common Stock,Equity,BBG001S86547,,Common Stock,CME
BBG000BFVXX0,CMS ENERGY CORP,CMS,US,BBG000BFVXX0,,Common Stock,Equity,BBG001S5PYJ3,,Common Stock,CMS
BBG000BBDV81,COGNIZANT TECH SOLUTIONS-A,CTSH,US,BBG000BBDV81,,Common Stock,Equity,BBG001S5STN6,,Common Stock,CTSH
BBG000BFQYY3,COLGATE-PALMOLIVE CO,CL,US,BBG000BFQYY3,,Common Stock,Equity,BBG001S5PVM5,,Common Stock,CL
BBG000BFT2L4,COMCAST CORP-CLASS A,CMCSA,US,BBG000BFT2L4,,Common Stock,Equity,BBG001S5PXL2,,Common Stock,CMCSA
BBG000C75N77,COMERICA INC,CMA,US,BBG000C75N77,,Common Stock,Equity,BBG001S6PXB1,,Common Stock,CMA
BBG000BDXGP9,CONAGRA BRANDS INC,CAG,US,BBG000BDXGP9,,Common Stock,Equity,BBG001S5PGY5,,Common Stock,CAG
BBG000BQQH30,CONOCOPHILLIPS,COP,US,BBG000BQQH30,,Common Stock,Equity,BBG001S5TZM2,,Common Stock,COP
BBG000BG3445,COOPER COS INC/THE,COO,US,BBG000BG3445,,Common Stock,Equity,BBG001S5Q1H6,,Common Stock,COO
BBG000BM9RH1,COPART INC,CPRT,US,BBG000BM9RH1,,Common Stock,Equity,BBG001S7MTB1,,Common Stock,CPRT
BBG00BN969C1,CORTEVA INC,CTVA,US,BBG00BN969C1,,Common Stock,Equity,BBG00BN969D0,,Common Stock,CTVA
BBG000F6H8W8,COSTCO WHOLESALE CORP,COST,US,BBG000F6H8W8,,Common Stock,Equity,BBG001S9KRQ7,,Common Stock,COST
BBG000C3GN47,COTERRA ENERGY INC,CTRA,US,BBG000C3GN47,,Common Stock,Equity,BBG001S6H6Y4,,Common Stock,CTRA
BBG000FV1Z23,CROWN CASTLE INTL CORP,CCI,US,BBG000FV1Z23,,REIT,Equity,BBG001S7W5T3,,REIT,CCI
BBG000BGJRC8,CSX CORP,CSX,US,BBG000BGJRC8,,Common Stock,Equity,BBG001S5Q7Q3,,Common Stock,CSX
BBG000BGPTV6,CUMMINS INC,CMI,US,BBG000BGPTV6,,Common Stock,Equity,BBG001S5Q9M3,,Common Stock,CMI
BBG000BGRY34,CVS HEALTH CORP,CVS,US,BBG000BGRY34,,Common Stock,Equity,BBG001S5QBD8,,Common Stock,CVS
BBG000BN2DC2,SALESFORCE.COM INC,CRM,US,BBG000BN2DC2,,Common Stock,Equity,BBG001SDLP09,,Common Stock,CRM
BBG000DQTXY6,DR HORTON INC,DHI,US,BBG000DQTXY6,,Common Stock,Equity,BBG001S8M692,,Common Stock,DHI
BBG000BH3JF8,DANAHER CORP,DHR,US,BBG000BH3JF8,,Common Stock,Equity,BBG001S5QGT0,,Common Stock,DHR
BBG000BBNYF6,DARDEN RESTAURANTS INC,DRI,US,BBG000BBNYF6,,Common Stock,Equity,BBG001S5QM08,,Common Stock,DRI
BBG000MQ1SN9,DAVITA INC,DVA,US,BBG000MQ1SN9,,Common Stock,Equity,BBG001SB5DZ0,,Common Stock,DVA
BBG000BH1NH9,DEERE & CO,DE,US,BBG000BH1NH9,,Common Stock,Equity,BBG001S5QFF7,,Common Stock,DE
BBG000R7Z112,DELTA AIR LINES INC,DAL,US,BBG000R7Z112,,Common Stock,Equity,BBG001SPT759,,Common Stock,DAL
BBG000BBVJZ8,DEVON ENERGY CORP,DVN,US,BBG000BBVJZ8,,Common Stock,Equity,BBG001S63VG4,,Common Stock,DVN
BBG000QTF8K1,DEXCOM INC,DXCM,US,BBG000QTF8K1,,Common Stock,Equity,BBG001SKZG99,,Common Stock,DXCM
BBG000Q5ZRM7,DIGITAL REALTY TRUST INC,DLR,US,BBG000Q5ZRM7,,REIT,Equity,BBG001SM0K30,,REIT,DLR
BBG000QBR5J5,DISCOVER FINANCIAL SERVICES,DFS,US,BBG000QBR5J5,,Common Stock,Equity,BBG001SS0KV6,,Common Stock,DFS
BBG000CHWP52,DISCOVERY INC - A,DISCA,US,BBG000CHWP52,,Common Stock,Equity,BBG001SLZ9C9,,Common Stock,DISCA
BBG000VMWHH5,DISCOVERY INC-C,DISCK,US,BBG000VMWHH5,,Common Stock,Equity,BBG001T3GQ86,,Common Stock,DISCK
BBG000C2YHG9,DISH NETWORK CORP-A,DISH,US,BBG000C2YHG9,,Common Stock,Equity,BBG001S7TPQ6,,Common Stock,DISH
BBG000NV1KK7,DOLLAR GENERAL CORP,DG,US,BBG000NV1KK7,,Common Stock,Equity,BBG001T5BM30,,Common Stock,DG
BBG000BSC0K9,DOLLAR TREE INC,DLTR,US,BBG000BSC0K9,,Common Stock,Equity,BBG001S6ZGL6,,Common Stock,DLTR
BBG000BGVW60,DOMINION ENERGY INC,D,US,BBG000BGVW60,,Common Stock,Equity,BBG001S5QCP3,,Common Stock,D
BBG000P458P3,DOMINO'S PIZZA INC,DPZ,US,BBG000P458P3,,Common Stock,Equity,BBG001SL3ZH1,,Common Stock,DPZ
BBG000BHB3M6,DOVER CORP,DOV,US,BBG000BHB3M6,,Common Stock,Equity,BBG001S5QL46,,Common Stock,DOV
BBG00BN96922,DOW INC,DOW,US,BBG00BN96922,,Common Stock,Equity,BBG00BN96931,,Common Stock,DOW
BBG000BB29X4,DTE ENERGY COMPANY,DTE,US,BBG000BB29X4,,Common Stock,Equity,BBG001S5QN88,,Common Stock,DTE
BBG000BHGDH5,DUKE ENERGY CORP,DUK,US,BBG000BHGDH5,,Common Stock,Equity,BBG001S5QNR7,,Common Stock,DUK
BBG000BHD8S7,DUKE REALTY CORP,DRE,US,BBG000BHD8S7,,REIT,Equity,BBG001S5QLT9,,REIT,DRE
BBG00BN961G4,DUPONT DE NEMOURS INC,DD,US,BBG00BN961G4,,Common Stock,Equity,BBG00BN961H3,,Common Stock,DD
BBG00FN64XT9,DXC TECHNOLOGY CO,DXC,US,BBG00FN64XT9,,Common Stock,Equity,BBG00FN64XV6,,Common Stock,DXC
BBG000BN84F3,QUEST DIAGNOSTICS INC,DGX,US,BBG000BN84F3,,Common Stock,Equity,BBG001S9GX43,,Common Stock,DGX
BBG000BH4R78,WALT DISNEY CO/THE,DIS,US,BBG000BH4R78,,Common Stock,Equity,BBG001S5QHF3,,Common Stock,DIS
BBG000BHLYS1,CONSOLIDATED EDISON INC,ED,US,BBG000BHLYS1,,Common Stock,Equity,BBG001S5QRL4,,Common Stock,ED
BBG000BLW530,EASTMAN CHEMICAL CO,EMN,US,BBG000BLW530,,Common Stock,Equity,BBG001S7JNP3,,Common Stock,EMN
BBG000BJ3PD2,EATON CORP PLC,ETN,US,BBG000BJ3PD2,,Common Stock,Equity,BBG001S5QZ45,,Common Stock,ETN
BBG000C43RR5,EBAY INC,EBAY,US,BBG000C43RR5,,Common Stock,Equity,BBG001S9B9J5,,Common Stock,EBAY
BBG000BHKYH4,ECOLAB INC,ECL,US,BBG000BHKYH4,,Common Stock,Equity,BBG001S5QRB5,,Common Stock,ECL
BBG000D7RKJ5,EDISON INTERNATIONAL,EIX,US,BBG000D7RKJ5,,Common Stock,Equity,BBG001S7MY75,,Common Stock,EIX
BBG000BRXP69,EDWARDS LIFESCIENCES CORP,EW,US,BBG000BRXP69,,Common Stock,Equity,BBG001SF2288,,Common Stock,EW
BBG000BP0KQ8,ELECTRONIC ARTS INC,EA,US,BBG000BP0KQ8,,Common Stock,Equity,BBG001S5T5C9,,Common Stock,EA
BBG000BHX7N2,EMERSON ELECTRIC CO,EMR,US,BBG000BHX7N2,,Common Stock,Equity,BBG001S5QVT7,,Common Stock,EMR
BBG001R3MNY9,ENPHASE ENERGY INC,ENPH,US,BBG001R3MNY9,,Common Stock,Equity,BBG001V28NC6,,Common Stock,ENPH
BBG000C1FQS9,ENTERGY CORP,ETR,US,BBG000C1FQS9,,Common Stock,Equity,BBG001S67KF5,,Common Stock,ETR
BBG000BZ9223,EOG RESOURCES INC,EOG,US,BBG000BZ9223,,Common Stock,Equity,BBG001S5ZB93,,Common Stock,EOG
BBG000BHPL78,EQUIFAX INC,EFX,US,BBG000BHPL78,,Common Stock,Equity,BBG001S5QSK3,,Common Stock,EFX
BBG000MBDGM6,EQUINIX INC,EQIX,US,BBG000MBDGM6,,REIT,Equity,BBG001SKBNS9,,REIT,EQIX
BBG000BG8M31,EQUITY RESIDENTIAL,EQR,US,BBG000BG8M31,,REIT,Equity,BBG001S723L9,,REIT,EQR
BBG000CGJMB9,ESSEX PROPERTY TRUST INC,ESS,US,BBG000CGJMB9,,REIT,Equity,BBG001S81418,,REIT,ESS
BBG000FKJRC5,ESTEE LAUDER COMPANIES-CL A,EL,US,BBG000FKJRC5,,Common Stock,Equity,BBG001S8L5H6,,Common Stock,EL
